state,county,city,address1,address2,date
Kansas,Johnson,Olathe,"1369 Ridge N Pkwy",,07/09/2005
Kansas,Nemaha,Oneida,"505 Monroe",,07/20/2005
Kansas,Sedgwick,Wichita,"11700 Waterman E 135",,08/11/2005
Kansas,Pratt,Pratt,"324 Third W St",,08/11/2005
Kansas,Leavenworth,Tonganoxie,"22212 219th Street",,08/16/2005
Kansas,Johnson,Shawnee,"11137 76th W Ter 34",,08/17/2005
Kansas,Osage,Burlingame,"13567 Indian Hills S Rd",,09/04/2005
Kansas,Barber,"Medicine Lodge","208 1st E St",,09/16/2005
Kansas,Reno,"South Hutchinson","12 Warren Dr",,09/16/2005
Kansas,Reno,Hutchinson,"10307 4th E Ave C",,10/18/2005
Kansas,Montgomery,Liberty,"7172 Ky & Hwy 40 N",,10/20/2005
Kansas,Logan,Oakley,"700 5th W St",,10/27/2005
Kansas,Morris,Dunlap,"2087 150 S Rd",,11/23/2005
Kansas,Harvey,Hesston,"448 Main S St B-1",,11/30/2005
Kansas,Mcpherson,Inman,"364 Chisholm Rd",,12/12/2005
Kansas,Cowley,"Arkansas City","904 8th N St",,12/21/2005
Kansas,Reno,Hutchinson,"1707 Blanchard E St 21",,01/11/2006
Kansas,Barton,"Great Bend","1336 10 Nw Rd",,01/13/2006
Kansas,Cherokee,Scammon,"711 3rd E",,01/17/2006
Kansas,Shawnee,Topeka,"1009 Monroe Ne Ave",,01/30/2006
Kansas,Chase,"Matfield Green","101 Evans Street",,01/30/2006
Kansas,Barton,"Great Bend","1915 Hubbard",,02/18/2006
Kansas,Haskell,Sublette,"209 Wooten",,02/26/2006
Kansas,Russell,Gorham,"136 8th W St",,02/28/2006
Kansas,Saline,Salina,"117 Front S St",,02/28/2006
Kansas,Geary,"Junction City","122 13th E St",,03/10/2006
Kansas,Miami,Osawatomie,"130 Walnut St",,03/13/2006
Kansas,Saline,Salina,"607 Fourth S St",,03/14/2006
Kansas,Miami,Osawatomie,"35980 Crescent Hill Rd",,03/28/2006
Kansas,Cloud,Clyde,"2923 Plum",,04/05/2006
Kansas,Cowley,"Arkansas City","1413 North 1st Street",,04/13/2006
Kansas,Shawnee,Topeka,"1216 Highway 24 Nw 60",,04/15/2006
Kansas,Cherokee,"Baxter Springs","5214 Southwest 166 Highway",,04/18/2006
Kansas,Crawford,Pittsburg,"119 Devonna",,04/23/2006
Kansas,Chase,"Strong City","410 South Cottonwood",,05/10/2006
Kansas,Saline,Salina,"917 Pontiac Ave",,05/12/2006
Kansas,Barton,"Great Bend","1302 Truman",,05/18/2006
Kansas,Rawlins,Atwood,"305 North 6th Street",,05/26/2006
Kansas,Labette,Parsons,"1810 Oak",,05/29/2006
Kansas,Sedgwick,Wichita,"1130 South Ida",,06/01/2006
Kansas,Ottawa,Tescott,"44 40th Road",,06/03/2006
Kansas,Rice,Lyons,"619 West N Avenue",,07/18/2006
Kansas,Montgomery,Independence,"404 South 10th",,07/23/2006
Kansas,Marion,Marion,"1919 Zebulon",,07/26/2006
Kansas,Reno,Hutchinson,"219 Reformatory Street",,08/02/2006
Kansas,Cherokee,"Baxter Springs","429 Cherokee Avenue",,08/12/2006
Kansas,Pratt,Pratt,"807 West 6th Street",,08/14/2006
Kansas,Jackson,"Kansas City","137 North Hardesty Avenue",,08/16/2006
Kansas,Jackson,Whiting,"307 Pratt",,08/24/2006
Kansas,Reno,Nickerson,"7910 Roy L. Smith Road",,09/22/2006
Kansas,Wilson,Neodesha,"2003 Mead Road",,09/24/2006
Kansas,Crawford,Franklin,"301 South Church Street",,12/22/2006
Kansas,Cherokee,Columbus,"511 East Buckeye Street",,12/23/2006
Kansas,Reno,Hutchinson,"23 East F Avenue",,12/26/2006
Kansas,Reno,Hutchinson,"204 Hoagland Street",,01/15/2007
Kansas,Barton,"Great Bend","94 Southwest 10 Avenue",,01/17/2007
Kansas,Kingman,Murdock,"9270 Southeast 60th Street",,01/26/2007
Kansas,Douglas,Lawrence,"2300 West 26th Street",,02/17/2007
Kansas,Greenwood,Eureka,"1222 150th Road",,02/22/2007
Kansas,Greenwood,Eureka,"1224 150th Road",,02/22/2007
Kansas,Reno,Hutchinson,"3 North Kent Road",,03/02/2007
Kansas,Sedgwick,Wichita,"2107 South Water",,03/21/2007
Kansas,Cherokee,Columbus,"5495 Southwest 50th Street",,03/25/2007
Kansas,Johnson,"De Soto","34055 West 86 Trail",,04/19/2007
Kansas,Coffey,Waverly,"409 East Kelly Street",,04/30/2007
Kansas,Allen,Iola,"1258 1000",,05/15/2007
Kansas,Cherokee,Columbus,"1583 Southeast 60th Street",,06/01/2007
Kansas,Rush,"La Crosse","606 East 6th Street",,06/07/2007
Kansas,Pawnee,Larned,"105 State Street",,06/11/2007
Kansas,Jackson,Holton,"704 Iowa",,06/13/2007
Kansas,Saline,Gypsum,"6620 South Solomon Road",,08/13/2007
Kansas,Crawford,Pittsburg,"609 West Martin Street",,09/07/2007
Kansas,Labette,Parsons,"315 South 23rd",,10/03/2007
Kansas,Reno,Hutchinson,"124 East 10th Avenue",,10/12/2007
